"State","NUM_ProvideMHCoverage"
"Illinois",0
"Illinois",1
"Virginia",1
"Oregon",1
"Pennsylvania",1
"New Jersey",1
"Georgia",1
"New York",0
"Indiana",1
"New York",1
"Washington",1
"Minnesota",1
"Georgia",0
"Kentucky",1
"California",1
"California",1
"California",1
"Florida",1
"Massachusetts",1
"Oregon",1
"North Dakota",1
"New York",1
"Indiana",0
"Texas",1
"New York",1
"Tennessee",1
"Wisconsin",1
"Michigan",1
"Washington",1
"California",1
"California",1
"Washington",1
"North Carolina",1
"New York",1
"North Carolina",1
"California",1
"Kansas",1
"Indiana",1
"Minnesota",1
"Tennessee",1
"Illinois",1
"Illinois",1
"Oregon",1
"Utah",0
"Tennessee",1
"Tennessee",1
"Virginia",1
"New York",1
"California",1
"Maryland",1
"Washington",1
"Indiana",1
"Oregon",1
"Michigan",0
"Illinois",1
"Illinois",1
"California",1
"California",0
"Indiana",1
"California",1
"Ohio",1
"California",1
"California",1
"California",1
"North Carolina",0
"Ohio",1
"Oregon",0
"Illinois",1
"Oregon",1
"Virginia",1
"Ohio",1
"Oregon",1
"California",1
"Iowa",1
"California",1
"Washington",1
"Connecticut",1
"California",1
"Ohio",1
"Texas",1
"California",1
"Indiana",0
"South Dakota",1
"California",1
"Florida",1
"California",1
"Nebraska",1
"Maine",1
"Missouri",1
"Arizona",1
"Oregon",0
"Arizona",0
"California",1
"Washington",1
"Michigan",1
"Michigan",1
"Michigan",1
"Michigan",1
"California",1
"Michigan",1
"Michigan",1
"Michigan",1
"Washington",1
"Texas",1
"Michigan",1
"Michigan",1
"Michigan",1
"Michigan",1
"Washington",1
"Michigan",1
"Michigan",1
"Washington",1
"California",1
"Florida",1
"California",1
"California",1
"Oregon",1
"Idaho",0
"Illinois",0
"Minnesota",1
"Vermont",1
"Illinois",1
"New York",1
"Michigan",1
"Minnesota",1
"Virginia",0
"Illinois",1
"Illinois",1
"Illinois",1
"California",1
"Kansas",0
"Minnesota",1
"California",1
"Michigan",1
"Oregon",1
"Vermont",0
"Maryland",1
"New York",1
"California",1
"New York",1
"California",1
"Michigan",1
"California",1
"California",1
"California",1
"California",1
"Illinois",1
"California",1
"Washington",1
"Florida",1
"California",1
"California",1
"Minnesota",1
"Missouri",1
"Alabama",1
"California",1
"California",1
"California",1
"Indiana",1
"California",1
"California",1
"North Carolina",1
"California",1
"Iowa",1
"New York",1
"New York",1
"Georgia",0
"Illinois",1
"New York",1
"Indiana",1
"California",1
"Washington",1
"Tennessee",0
"Minnesota",0
"Minnesota",1
"Nebraska",1
"West Virginia",1
"California",0
"Tennessee",1
"Nebraska",0
"Tennessee",1
"Tennessee",1
"Tennessee",1
"Nebraska",1
"Illinois",1
"Nebraska",1
"Indiana",1
"Maryland",0
"California",1
"California",0
"Texas",1
"Minnesota",1
"New York",1
"Oregon",1
"Illinois",0
"Michigan",0
"Michigan",1
"Florida",1
"California",1
"Tennessee",1
"California",1
"California",1
"Oregon",1
"California",0
"Tennessee",0
"Texas",0
"Georgia",0
"Colorado",0
"Oregon",1
"Pennsylvania",1
"California",1
"Colorado",0
"Florida",1
"Florida",1
"Oregon",1
"Washington",0
"Pennsylvania",1
"New York",1
"Texas",1
"Indiana",1
"North Carolina",1
"North Carolina",1
"Michigan",1
"Florida",1
"South Carolina",0
"North Carolina",1
"Pennsylvania",1
"Illinois",1
"Maryland",1
"Washington",1
"Kansas",1
"Colorado",1
"Minnesota",1
"Pennsylvania",1
"New York",1
"Missouri",1
"Michigan",1
"Illinois",1
"New Hampshire",1
"Illinois",1
"Kansas",1
"Kansas",1
"Kansas",1
"Illinois",1
"Arizona",1
"Minnesota",0
"Colorado",0
"Minnesota",1
"Pennsylvania",1
"Illinois",1
"Washington",1
"Oklahoma",0
"Minnesota",0
"Oklahoma",1
"Pennsylvania",1
"Washington",1
"Indiana",1
"Pennsylvania",1
"Tennessee",1
"Pennsylvania",1
"Massachusetts",1
"Indiana",1
"Tennessee",1
"Colorado",1
"Wisconsin",1
"Texas",1
"Virginia",1
"Rhode Island",1
"Maine",0
"Ohio",1
"California",1
"Washington",0
"Pennsylvania",1
"Ohio",0
"Minnesota",1
"California",1
"California",1
"Pennsylvania",1
"Maryland",1
"California",1
"Illinois",1
"Missouri",1
"Texas",1
"Georgia",1
"Maryland",0
"New York",1
"Washington",0
"California",1
"Texas",1
"California",1
"Texas",1
"Missouri",1
"Maine",1
"California",1
"Illinois",0
"California",1
"Ohio",1
"Maryland",1
"California",1
"Wisconsin",1
"Colorado",1
"Oklahoma",1
"California",1
"Oklahoma",1
"Ohio",1
"California",1
"Kansas",1
"Texas",1
"Minnesota",1
"Texas",1
"Pennsylvania",1
"Minnesota",1
"Nebraska",1
"North Carolina",1
"Oklahoma",1
"New York",0
"New Hampshire",1
"Minnesota",1
"Texas",0
"Pennsylvania",0
"Kansas",0
"Pennsylvania",1
"Texas",0
"Texas",1
"Maryland",1
"Illinois",1
"California",0
"New York",0
"California",1
"New Jersey",0
"Pennsylvania",1
"Pennsylvania",1
"Pennsylvania",1
"Michigan",1
"Minnesota",1
"Texas",1
"Minnesota",1
"Colorado",1
"Illinois",1
"Maryland",1
"Minnesota",1
"Massachusetts",1
"Florida",1
"Illinois",1
"California",0
"New Hampshire",1
"Massachusetts",1
"Massachusetts",1
"Utah",1
"Utah",1
"Maine",1
"Michigan",1
"Michigan",1
"Washington",1
"Minnesota",1
"Pennsylvania",1
"Ohio",0
"Montana",1
"Tennessee",1
"Ohio",0
"Washington",1
"California",1
"Colorado",1
"New York",0
"Wisconsin",1
"Washington",1
"Washington",1
"Colorado",0
"Missouri",1
"Georgia",1
"California",1
"Massachusetts",1
"Illinois",1
"Virginia",1
"Texas",1
"California",1
"California",1
"Massachusetts",1
"New Hampshire",0
"Wisconsin",1
"Tennessee",1
"New Jersey",0
"Kentucky",1
"California",1
"Tennessee",1
"California",1
"Idaho",1
"Georgia",0
"California",0
"Illinois",0
"Rhode Island",1
"California",1
"Ohio",1
"North Carolina",1
"North Carolina",1
"North Carolina",1
"Illinois",0
"Ohio",1
"Michigan",1
"Illinois",1
"South Dakota",1
"Michigan",1
"Ohio",0
"California",1
"Texas",1
"Michigan",1
"Michigan",1
"Michigan",1
"Alaska",1
"Delaware",1
"Alaska",1
"Oklahoma",0
"Ohio",1
"North Carolina",1
"Michigan",1
"Colorado",0
"California",1
"California",1
"Georgia",1
"Texas",0
"Washington",1
"Washington",1
"Tennessee",1
"Minnesota",1
"California",0
"Minnesota",1
"Ohio",1
"Minnesota",1
"Indiana",1
"Massachusetts",1
"Oregon",1
"New York",1
"California",1
"North Carolina",1
"Colorado",1
"Florida",1
"Oregon",1
"California",0
"Alabama",1
"Tennessee",1
"Texas",1
"New Mexico",1
"Wisconsin",1
"California",1
"Maryland",1
"Massachusetts",1
"Iowa",1
"Minnesota",0
"Minnesota",1
"Massachusetts",0
"Utah",1
"California",1
"California",1
"Illinois",1
"Illinois",0
"Ohio",1
"Florida",0
"Michigan",1
"Ohio",1
"California",0
"Texas",1
"Colorado",1
"Louisiana",0
"Tennessee",0
"Missouri",1
"California",1
"Pennsylvania",1
"Ohio",1
"Michigan",1
"Florida",0
"New York",1
"Michigan",1
"Missouri",1
"Pennsylvania",0
"Indiana",1
"Texas",1
"Massachusetts",0
"California",1
"Washington",1
"Massachusetts",1
"Michigan",1
"Virginia",1
"Oregon",1
"Maryland",1
"Texas",1
"California",1
"California",0
"Pennsylvania",1
"District of Columbia",1
"California",1
"Washington",1
"Texas",1
"Missouri",1
"Nebraska",1
"California",1
"California",1
"Illinois",0
"Virginia",0
"New York",1
"Pennsylvania",1
"New York",1
"California",1
"Pennsylvania",1
"Massachusetts",1
"Idaho",0
"New York",1
"Colorado",0
"Texas",1
"New York",1
"Wisconsin",0
"Arizona",0
"Alabama",1
"Illinois",1
"Georgia",1
